"Cuke","Period","Present","answer","response"
"Demo_Question_1",NA,NA,NA,"None"
"Demo_Question_2",NA,NA,NA,"None"
"Demo_Question_3",NA,NA,NA,"20"
"Demo_Question_4",NA,NA,NA,"1"
"Demo_Question_5",NA,NA,NA,""
"S1_4B","S4",1,3,"1"
"S1_4D","S5",0,6,"1"
"S1_4A","S3",1,2,"1"
"S1_3D","S4",1,3,"1"
"S1_1B","S3",1,5,"1"
"S1_3C","S5",0,6,"1"
"S1_6C","S2",1,3,"1"
"S1_3B","S2",1,4,"1"
"S1_6C","S5",1,3,"1"
"S1_6B","S2",1,2,"1"
"S1_1D","S5",0,6,"1"
"S1_3A","S2",1,3,"1"
"S1_4B","S2",1,3,"1"
"S1_3A","S4",0,6,"1"
"S1_5B","S3",1,3,"1"
"S1_5B","S3",1,5,"1"
